articulated_course_year,hs_grad_year,hs_grad_status,gender,ethnicity,high_school,subject,course,hs_course_grade,final_exam_grade,credit_recommended,credit_status,id,took_mcc_course_as_non_hs_student,took_mcc_course_in_same_discipline,earned_degree,earned_coa,earned_cop
2022-2023,2024,Graduate,Male,Asian,La Costa Canyon High School,CS,CS101,A,B,Yes,Awarded,11095,Not Applicable,No,No,No,No
2022-2023,2022,Graduate,Female,Unknown,La Costa Canyon High School,ACCT,CS101,C,A,Yes,Denied,1401,No,No,No,No,No
2020-2021,2022,Graduate,Female,White,La Costa Canyon High School,BUS,CS111,A,B,Yes,Denied,5470,Yes,No,No,No,No
2022-2023,2024,Graduate,Male,Hispanic,Canyon Crest Academy,CS,NURS151,A,A,No,Denied,3928,Not Applicable,Not Applicable,Not Applicable,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,La Costa Canyon High School,BUS,NURS151,B,B,Yes,Awarded,2697,Not Applicable,Not Applicable,No,Not Applicable,No
2020-2021,2023,Graduate,Male,White,Carlsbad High School,BUS,BUS120,A,A,Yes,Awarded,4051,No,Not Applicable,No,Not Applicable,No
2021-2022,2024,Graduate,Female,Asian,Canyon Crest Academy,MAT,BUS130,A,B,Yes,Awarded,9480,Not Applicable,No,No,No,No
2021-2022,2024,Graduate,Male,White,San Dieguito Academy,CS,ACCT158,,A,Yes,Awarded,12773,Yes,Yes,No,No,No
2021-2022,2021,Graduate,Male,Two or More Races,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,761,No,No,No,No,No
2020-2021,2020,Graduate,Male,Two or More Races,San Dieguito Academy,AUTO,KINE190,B,C,Yes,Awarded,10681,No,No,No,No,No
2022-2023,2023,Graduate,Unknown/Unreported,Unknown,Carlsbad High School,BUS,BUS120,A,,Yes,Awarded,7089,No,No,Not Applicable,No,Not Applicable
2020-2021,2022,Graduate,Male,White,Carlsbad High School,BUS,BUS132,A,A,Yes,Awarded,10948,No,No,No,No,No
2020-2021,2022,Not Yet a Graduate,Female,Two or More Races,La Costa Canyon High School,BUS,BUS130,A,A,Yes,Awarded,4511,Not Applicable,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Female,Asian,Sage Creek High School,BUS,MAT110,A,A,Yes,Denied,4243,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable
2021-2022,2022,Graduate,Female,White,San Dieguito Academy,ART,MAT110,A,B,Yes,Awarded,4993,No,Yes,No,Not Applicable,No
2021-2022,2021,Graduate,Male,Two or More Races,Torrey Pines High School,MAP,DESN207,A,A,Yes,Awarded,2925,No,No,No,No,No
2021-2022,2021,Graduate,Female,White,Canyon Crest Academy,BUS,BUS130,A,A,Yes,Awarded,4689,No,No,No,No,No
2020-2021,2021,Graduate,Male,White,La Costa Canyon High School,BUS,BUS132,A,A,Yes,Awarded,2493,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,Westview High School,BUS,NURS151,A,A,Yes,Awarded,136,Not Applicable,No,Not Applicable,Not Applicable,No
2021-2022,2024,Graduate,Female,White,Canyon Crest Academy,ART,ART251,A,B,Yes,Awarded,9754,No,No,No,No,No
2020-2021,2024,Graduate,Female,White,Altus Schools,AUTO,BUS130,A,A,Yes,Awarded,6135,Yes,No,Not Applicable,No,No
2021-2022,2024,Not Yet a Graduate,Unknown/Unreported,White,Canyon Crest Academy,ART,BUS132,,A,No,Awarded,9886,No,No,No,No,No
2021-2022,2025,Graduate,Female,Asian,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,9657,No,No,No,Not Applicable,Not Applicable
2022-2023,2025,Not Yet a Graduate,Male,White,Canyon Crest Academy,DESN,ART251,A,A,Yes,Awarded,1170,No,Yes,No,Not Applicable,Not Applicable
2022-2023,2026,Not Yet a Graduate,Male,White,La Costa Canyon High School,CS,CS101,A,A,No,Awarded,6867,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2020-2021,2023,Graduate,Male,Two or More Races,La Costa Canyon High School,BUS,BUS120,A,A,Yes,Awarded,11864,Yes,No,No,No,No
2022-2023,2025,Graduate,Male,Two or More Races,El Camino High School,NURS,ART251,A,A,Yes,Awarded,329,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2020-2021,2024,Graduate,Female,White,San Dieguito Academy,ACCT,BUS120,A,C,Yes,Awarded,12026,No,No,No,No,No
2020-2021,2021,Graduate,Male,Asian,Torrey Pines High School,MAP,ART251,A,,Yes,Denied,11994,No,No,No,No,No
2020-2021,2021,Graduate,Male,Hispanic,Canyon Crest Academy,BUS,BUS130,B,A,No,Denied,70,No,No,No,No,No
2020-2021,2024,Not Yet a Graduate,Male,Hispanic,Torrey Pines High School,BUS,NURS151,A,A,Yes,Denied,7673,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No
2021-2022,2026,Graduate,Female,White,Westview High School,ART,KINE190,A,B,Yes,Awarded,8796,Yes,No,Not Applicable,No,No
2021-2022,2021,Graduate,Female,Asian,Canyon Crest Academy,BUS,BUS130,D,A,Yes,Awarded,11557,No,No,No,No,No
2022-2023,2022,Graduate,Female,Two or More Races,Mission Vista High School,CS,CS101,D,A,Yes,Awarded,6965,No,No,No,No,No
2021-2022,2023,Graduate,Female,Asian,Sage Creek High School,NURS,ART251,A,,Yes,Awarded,946,No,No,No,No,No
2021-2022,2024,Graduate,Female,White,Torrey Pines High School,CS,BUS120,A,B,Yes,Awarded,7785,Yes,No,No,No,No
2020-2021,2023,Graduate,Female,Hispanic,El Camino High School,BUS,BUS120,A,A,Yes,Denied,4300,No,No,No,No,No
2020-2021,2023,Graduate,Female,Hispanic,Torrey Pines High School,MAT,AUTO102,A,A,Yes,Awarded,12670,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Female,Asian,La Costa Canyon High School,BUS,ACCT158,A,A,No,Awarded,10731,Not Applicable,No,No,No,No
2020-2021,2022,Not Yet a Graduate,Unknown/Unreported,Hispanic,Sage Creek High School,ART,MAT125,A,B,Yes,Awarded,9867,Not Applicable,Not Applicable,No,No,Not Applicable
2020-2021,2022,Graduate,Male,Hispanic,Carlsbad High School,HORT,DESN100,A,A,No,Awarded,13502,No,No,No,No,No
2020-2021,2022,Graduate,Male,White,Canyon Crest Academy,ART,AUTO130,A,A,Yes,Awarded,6036,No,No,No,No,No
2022-2023,2024,Graduate,Male,White,Torrey Pines High School,BUS,BUS130,A,B,Yes,Awarded,3635,No,No,No,No,No
2021-2022,2021,Graduate,Male,Unknown/Unreported,Sage Creek High School,CS,CS101,A,A,Yes,Denied,1850,Not Applicable,No,No,No,No
2020-2021,2023,Graduate,Male,White,Torrey Pines High School,BUS,BUS132,A,A,Yes,Denied,9679,No,No,No,No,No
2020-2021,2023,Graduate,Male,White,Carlsbad High School,ART,DESN100,A,A,Yes,Awarded,6350,No,No,No,No,No
2020-2021,2024,Not Yet a Graduate,Female,Two or More Races,La Costa Canyon High School,MAT,BUS130,A,A,Yes,Awarded,6254,Not Applicable,No,No,No,Not Applicable
2021-2022,2024,Not Yet a Graduate,Female,Hispanic,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,7404,Yes,No,Not Applicable,No,No
2020-2021,2023,Graduate,Male,White,Sage Creek High School,BUS,DESN100,A,A,Yes,Awarded,9537,No,No,No,No,No
2021-2022,2024,Not Yet a Graduate,Female,Hispanic,El Camino High School,BUS,BUS130,A,A,Yes,Awarded,6208,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2024,Graduate,Female,Hispanic,Sage Creek High School,CS,ACCT158,B,B,Yes,Awarded,12335,No,No,No,No,No
2020-2021,2022,Graduate,Female,Hispanic,Tri-City Christian School,AUTO,ART251,A,D,No,Awarded,11155,No,No,No,No,No
2021-2022,2024,Graduate,Male,Hispanic,La Costa Canyon High School,MAP,ACCT101,A,A,Yes,Awarded,11765,Yes,No,No,Not Applicable,No
2021-2022,2022,Graduate,Male,White,Oceanside High School,BUS,BUS130,A,B,Yes,Awarded,11208,Yes,No,No,No,No
2020-2021,2024,Graduate,Unknown/Unreported,White,Torrey Pines High School,BUS,BUS130,B,A,Yes,Awarded,3859,Not Applicable,Not Applicable,Not Applicable,No,No
2020-2021,2023,Graduate,Female,Two or More Races,Torrey Pines High School,BUS,BUS120,B,B,Yes,Awarded,7351,No,No,Not Applicable,No,No
2022-2023,2024,Not Yet a Graduate,Male,Hispanic,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,12577,No,No,No,No,No
2021-2022,2025,Not Yet a Graduate,Female,White,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,7166,Not Applicable,Yes,No,Not Applicable,Not Applicable
2021-2022,2026,Not Yet a Graduate,Male,Asian,Canyon Crest Academy,MAT,BUS120,A,A,Yes,Awarded,2047,Not Applicable,Not Applicable,Not Applicable,No,No
2020-2021,2024,Graduate,Male,White,Sage Creek High School,BUS,BUS120,A,A,Yes,Awarded,10820,No,No,No,No,No
2021-2022,2022,Graduate,Male,White,San Dieguito Academy,BUS, ACCT101,A,A,Yes,Denied,9415,No,No,No,No,No
2021-2022,2022,Graduate,Male,Middle Eastern or North African,Torrey Pines High School,CS,CS101,C,A,Yes,Awarded,1499,No,No,No,No,No
2021-2022,2024,Graduate,Unknown/Unreported,White,La Costa Canyon High School,ACCT,BUS120,A,A,Yes,Awarded,1166,No,No,No,No,No
2022-2023,2024,Graduate,Unknown/Unreported,White,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,1214,Yes,Not Applicable,Not Applicable,No,Not Applicable
2021-2022,2024,Graduate,Male,White,Canyon Crest Academy,FILM,HORT127,A,B,Yes,Awarded,5852,Not Applicable,No,No,No,Not Applicable
2021-2022,2023,Graduate,Male,Middle Eastern or North African,Canyon Crest Academy,MAT,BUS132,B,B,Yes,Awarded,7157,Not Applicable,Not Applicable,No,No,No
2022-2023,2025,Graduate,Female,Unknown/Unreported,El Camino High School,BUS,BUS132,A,A,Yes,Awarded,8830,No,Not Applicable,No,No,Not Applicable
2022-2023,2026,Graduate,Female,White,Oceanside High School,BUS,BUS120,A,A,Yes,Awarded,7801,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2026,Not Yet a Graduate,Male,Two or More Races,La Costa Canyon High School,MAT,BUS120,A,A,Yes,Denied,10544,Not Applicable,Not Applicable,Not Applicable,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,El Camino High School,BUS,BUS132,B,A,Yes,Awarded,7367,No,No,No,No,Not Applicable
2020-2021,2021,Graduate,Male,White,Torrey Pines High School,BUS,CS101,A,N,Yes,Awarded,9449,No,No,No,No,No
2021-2022,2022,Graduate,Female,White,Canyon Crest Academy,ART,MAT125,B,A,Yes,Awarded,1480,No,Yes,No,No,No
2021-2022,2023,Graduate,Female,White,Torrey Pines High School,BUS,NURS151,A,A,Yes,Denied,3915,Not Applicable,Not Applicable,No,No,No
2022-2023,2026,Graduate,Male,White,Torrey Pines High School,BUS,ART251,A,A,Yes,Awarded,11225,Not Applicable,Not Applicable,No,No,Not Applicable
2020-2021,2020,Graduate,Male,Hispanic,La Costa Canyon High School,BUS,AUTO130,A,A,Yes,Awarded,3777,No,No,No,No,No
2022-2023,2024,Graduate,Male,Hispanic,Torrey Pines High School,CS,CS101,A,A,Yes,Awarded,6045,Not Applicable,No,No,No,No
2021-2022,2023,Graduate,Female,Asian,Torrey Pines High School,BUS,NURS151,A,B,Yes,Awarded,10669,Not Applicable,Yes,No,No,No
2022-2023,2025,Not Yet a Graduate,Female,Two or More Races,Canyon Crest Academy,AUTO,ART251,A,A,Yes,Awarded,8021,Not Applicable,Not Applicable,No,Yes,No
2021-2022,2025,Graduate,Female,White,Torrey Pines High School,NURS,BUS120,A,A,Yes,Awarded,3778,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2025,Graduate,Male,White,La Costa Canyon High School,ACCT,BUS120,A,A,No,Awarded,13047,No,Not Applicable,No,Not Applicable,No
2020-2021,2023,Not Yet a Graduate,Female,Two or More Races,San Dieguito Academy,NURS,BUS120,C,B,Yes,Awarded,6447,Yes,No,No,No,No
2022-2023,2025,Graduate,Female,White,Torrey Pines High School,BUS,CS101,A,A,No,Awarded,8979,No,No,Not Applicable,No,No
2021-2022,2025,Not Yet a Graduate,Male,White,Canyon Crest Academy,NURS,NURS151,A,A,Yes,Awarded,4568,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2020-2021,2020,Graduate,Male,Unknown/Unreported,Sage Creek High School,BUS,BUS130,A,A,Yes,Denied,8439,Yes,No,No,No,No
2020-2021,2021,Not Yet a Graduate,Female,Hispanic,Oceanside High School,BUS,NURS151,B,C,Yes,Awarded,2317,Yes,No,Not Applicable,Not Applicable,No
2021-2022,2024,Not Yet a Graduate,Male,Asian,Tri-City Christian School,HORT,DESN100,A,A,Yes,Awarded,11381,No,No,No,No,Not Applicable
2020-2021,2024,Graduate,Male,White,La Costa Canyon High School,HORT,ART251,A,B,Yes,Awarded,12060,No,No,No,No,No
2021-2022,2025,Not Yet a Graduate,Male,White,La Costa Canyon High School,BUS,CS111,,A,Yes,Awarded,9907,Not Applicable,No,No,No,No
2020-2021,2025,Not Yet a Graduate,Male,Hispanic,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,13048,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2024,Graduate,Female,Hispanic,La Costa Canyon High School,ART,MTEC110,A,A,Yes,Awarded,13065,No,No,No,No,No
2021-2022,2021,Graduate,Male,Unknown/Unreported,San Dieguito Academy,BUS,NURS151,A,B,Yes,Awarded,1896,No,No,No,No,No
2022-2023,2022,Graduate,Male,Two or More Races,La Costa Canyon High School,BUS,BUS120,A,A,Yes,Denied,12362,Not Applicable,No,No,No,No
2020-2021,2025,Graduate,Female,White,Canyon Crest Academy,KINE,NURS299,A,A,Yes,Awarded,3445,No,No,Not Applicable,Not Applicable,Not Applicable
2020-2021,2021,Graduate,Unknown/Unreported,White,Mission Vista High School,BUS,NURS151,A,C,Yes,Awarded,8773,No,No,No,No,No
2021-2022,2023,Not Yet a Graduate,Male,Asian,Torrey Pines High School,BUS,BUS132,B,B,Yes,Awarded,7950,Yes,Not Applicable,Not Applicable,Not Applicable,No
2022-2023,2023,Graduate,Unknown/Unreported,Hispanic,Sage Creek High School,BUS,BUS120,A,A,Yes,Awarded,727,Not Applicable,No,No,No,No
2021-2022,2024,Graduate,Male,White,Canyon Crest Academy,BUS,BUS299,B,A,Yes,Awarded,13405,No,No,No,No,Not Applicable
2022-2023,2022,Graduate,Unknown/Unreported,White,Sage Creek High School,BUS,ART251,A,A,Yes,Awarded,7750,No,No,No,No,No
2020-2021,2021,Graduate,Female,Unknown/Unreported,La Costa Canyon High School,ART,BUS132,A,F,Yes,Denied,10947,No,No,No,No,No
2021-2022,2022,Graduate,Male,White,La Costa Canyon High School,BUS,BUS130,C,A,Yes,Awarded,3919,No,No,No,No,No
2022-2023,2026,Graduate,Male,Hispanic,Oceanside High School,ART,BUS120,A,B,Yes,Awarded,1439,No,Not Applicable,No,Not Applicable,No
2021-2022,2023,Graduate,Female,Hispanic,Oceanside High School,BUS,ART251,D,A,Yes,Awarded,11198,No,No,No,No,No
2021-2022,2022,Graduate,Female,Hispanic,La Costa Canyon High School,BUS,ACCT158,A,B,Yes,Awarded,11603,No,No,No,No,Not Applicable
2020-2021,2021,Graduate,Male,Pacific Islander,Canyon Crest Academy,ACCT,NURS151,B,B,Yes,Awarded,5059,No,No,No,No,No
2020-2021,2024,Graduate,Male,White,Canyon Crest Academy,ACCT,BUS120,,D,No,Awarded,6956,Not Applicable,No,No,No,No
2020-2021,2022,Graduate,Male,White,La Costa Canyon High School,AUTO,BUS132,A,A,Yes,Awarded,3533,No,No,No,No,No
2021-2022,2022,Graduate,Female,White,Canyon Crest Academy,BUS,DESN100,B,A,Yes,Awarded,12552,No,No,No,No,Not Applicable
2021-2022,2021,Graduate,Female,White,Carlsbad High School,NURS,ART251,B,C,Yes,Awarded,7891,No,No,No,No,No
2020-2021,2021,Graduate,Male,Hispanic,San Dieguito Academy,BUS,BUS130,A,A,Yes,Awarded,9979,Not Applicable,No,No,No,No
2020-2021,2023,Graduate,Male,White,Torrey Pines High School,BUS,BUS132,,F,No,Awarded,2440,No,No,No,No,No
2022-2023,2024,Graduate,Female,Unknown/Unreported,Altus Schools,BUS,BUS130,A,A,Yes,Awarded,9208,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Unknown/Unreported,Hispanic,San Dieguito Academy,BUS,BUS130,A,A,Yes,Awarded,5586,Yes,Not Applicable,No,Not Applicable,Not Applicable
2021-2022,2022,Graduate,Male,Two or More Races,Carlsbad High School,BUS,NURS151,A,A,Yes,Awarded,7259,No,No,No,No,No
2020-2021,2023,Graduate,Male,Hispanic,Torrey Pines High School,BUS,NURS151,A,A,Yes,Awarded,9949,Not Applicable,No,No,No,No
2020-2021,2025,Not Yet a Graduate,Unknown/Unreported,Hispanic,Canyon Crest Academy,ACCT,BUS120,,,Yes,Awarded,1316,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2022,Graduate,Male,Unknown/Unreported,La Costa Canyon High School,CS,CHLD299,A,A,Yes,Awarded,11014,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,Middle Eastern or North African,Carlsbad High School,BUS,BUS120,A,A,No,Denied,2056,No,No,No,No,No
2022-2023,2024,Graduate,Male,White,Altus Schools,AUTO,NURS151,A,A,Yes,Awarded,4701,No,No,No,No,No
2022-2023,2024,Graduate,Female,Asian,Canyon Crest Academy,FILM,ACCT101,A,A,Yes,Awarded,7109,No,No,No,No,No
2020-2021,2024,Not Yet a Graduate,Male,Hispanic,Torrey Pines High School,AUTO,BUS132,A,A,Yes,Awarded,8485,Yes,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Female,Two or More Races,Canyon Crest Academy,FILM,KINE190,A,A,Yes,Awarded,5766,Yes,No,Not Applicable,No,No
2020-2021,2024,Not Yet a Graduate,Female,Unknown/Unreported,San Dieguito Academy,BUS,ART251,,,Yes,Awarded,2496,Yes,No,Not Applicable,Yes,No
2021-2022,2023,Graduate,Female,White,Canyon Crest Academy,BUS,BUS299,C,C,Yes,Awarded,7880,Not Applicable,Not Applicable,No,No,No
2021-2022,2021,Graduate,Male,White,Carlsbad High School,CS,ACCT158,A,A,No,Awarded,811,No,No,No,No,No
2022-2023,2023,Graduate,Female,Hispanic,Canyon Crest Academy,NURS,MAT110,A,B,Yes,Awarded,2064,Yes,No,Not Applicable,Not Applicable,No
2022-2023,2025,Not Yet a Graduate,Male,Asian,El Camino High School,BUS,BUS120,A,A,Yes,Awarded,11625,Not Applicable,Not Applicable,No,Not Applicable,Not Applicable
2022-2023,2025,Graduate,Unknown/Unreported,Two or More Races,Tri-City Christian School,BUS,BUS120,A,B,Yes,Awarded,9775,Not Applicable,Not Applicable,No,Not Applicable,No
2020-2021,2023,Graduate,Male,White,La Costa Canyon High School,BUS,BUS120,A,A,Yes,Awarded,5227,No,No,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,Two or More Races,Oceanside High School,NURS,BUS132,A,,Yes,Denied,13727,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2024,Graduate,Female,Pacific Islander,Tri-City Christian School,BUS,BUS120,,,Yes,Awarded,8603,No,No,Not Applicable,Yes,Not Applicable
2020-2021,2023,Graduate,Male,White,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,3568,Yes,No,Not Applicable,No,Not Applicable
2020-2021,2021,Graduate,Male,White,Oceanside High School,BUS,BUS120,A,F,No,Denied,3860,No,No,No,No,No
2021-2022,2025,Graduate,Male,White,Canyon Crest Academy,ART,DESN100,A,F,Yes,Awarded,1231,No,No,No,No,No
2021-2022,2025,Graduate,Male,Two or More Races,La Costa Canyon High School,ART,NURS151,A,A,No,Awarded,10816,No,No,Not Applicable,Not Applicable,Not Applicable
2021-2022,2023,Graduate,Female,Hispanic,Altus Schools,ART,BUS132,A,A,Yes,Awarded,10349,Not Applicable,Not Applicable,No,No,No
2022-2023,2024,Not Yet a Graduate,Unknown/Unreported,White,Torrey Pines High School,AUTO,BUS132,A,B,Yes,Awarded,8155,Not Applicable,No,Not Applicable,Not Applicable,No
2022-2023,2024,Graduate,Female,White,San Dieguito Academy,BUS,BUS120,A,A,Yes,Denied,5193,No,No,No,Not Applicable,No
2022-2023,2025,Not Yet a Graduate,Female,Two or More Races,La Costa Canyon High School,DESN,MAT110,A,B,Yes,Awarded,13419,Yes,No,Not Applicable,No,Not Applicable
2022-2023,2023,Not Yet a Graduate,Male,Two or More Races,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,9483,No,No,No,No,Not Applicable
2022-2023,2025,Graduate,Male,Hispanic,Torrey Pines High School,KINE,HORT127,A,F,Yes,Denied,12979,No,No,No,Yes,Not Applicable
2020-2021,2021,Graduate,Female,Asian,San Dieguito Academy,BUS,BUS132,B,A,Yes,Awarded,852,No,No,No,No,No
2022-2023,2023,Graduate,Female,Hispanic,Canyon Crest Academy,BUS,BUS120,A,A,Yes,Awarded,2718,No,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2023,Not Yet a Graduate,Unknown/Unreported,Hispanic,San Dieguito Academy,ACCT,BUS120,A,B,Yes,Awarded,2988,Not Applicable,Not Applicable,Not Applicable,No,Not Applicable
2022-2023,2024,Graduate,Male,White,Torrey Pines High School,ART,DESN100,B,A,Yes,Awarded,6418,Yes,No,No,No,Not Applicable
2020-2021,2023,Not Yet a Graduate,Female,Asian,San Dieguito Academy,BUS,BUS120,A,C,Yes,Awarded,1188,Yes,No,Yes,No,Not Applicable
2021-2022,2024,Graduate,Female,White,Torrey Pines High School,ART,ART251,A,A,Yes,Awarded,1341,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,Oceanside High School,DESN,HORT127,A,,Yes,Awarded,6903,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2022-2023,2023,Graduate,Male,Two or More Races,Canyon Crest Academy,BUS,AUTO102,A,,No,Denied,5951,Not Applicable,No,No,No,No
2021-2022,2024,Graduate,Male,Middle Eastern or North African,Canyon Crest Academy,BUS,BUS130,A,A,No,Denied,961,Yes,No,No,No,No
2020-2021,2022,Graduate,Unknown/Unreported,Hispanic,La Costa Canyon High School,BUS,BUS130,A,,No,Denied,8232,No,Not Applicable,No,Not Applicable,No
2020-2021,2022,Graduate,Female,Hispanic,El Camino High School,FILM,ART251,A,A,Yes,Awarded,12591,No,No,No,No,No
2020-2021,2022,Graduate,Male,White,Tri-City Christian School,ACCT,BUS120,A,A,Yes,Awarded,5236,No,No,No,No,No
2021-2022,2023,Graduate,Female,Asian,San Dieguito Academy,AUTO,BUS132,B,A,Yes,Awarded,9434,Yes,Not Applicable,No,No,No
2022-2023,2026,Not Yet a Graduate,Male,Hispanic,Torrey Pines High School,BUS,BUS120,D,A,Yes,Denied,7789,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2021-2022,2023,Graduate,Female,White,Torrey Pines High School,CS,CS111,A,A,Yes,Awarded,5447,Not Applicable,No,No,No,No
2022-2023,2025,Graduate,Female,Hispanic,Torrey Pines High School,ART,DESN100,A,A,Yes,Awarded,7906,No,No,No,No,No
2020-2021,2023,Graduate,Male,Hispanic,La Costa Canyon High School,BUS,BUS130,A,A,Yes,Awarded,7671,Yes,No,Not Applicable,No,No
2020-2021,2021,Graduate,Female,White,La Costa Canyon High School,BUS,BUS120,A,A,Yes,Awarded,196,No,No,No,No,No
2022-2023,2022,Graduate,Male,Hispanic,Torrey Pines High School,CS,BUS120,A,B,Yes,Awarded,11096,Not Applicable,No,No,No,No
2021-2022,2022,Graduate,Male,White,Sage Creek High School,BUS,BUS120,C,,No,Awarded,8685,No,No,No,No,No
2022-2023,2025,Not Yet a Graduate,Male,White,La Costa Canyon High School,BUS,ART253,B,A,Yes,Awarded,12222,No,Not Applicable,Not Applicable,No,No
2021-2022,2024,Graduate,Male,Asian,Oceanside High School,AUTO,BUS132,A,A,Yes,Awarded,5948,No,No,No,No,No
2020-2021,2021,Graduate,Female,Hispanic,Carlsbad High School,MTEC,MTEC110,,A,No,Denied,12108,No,No,No,No,No
2022-2023,2023,Graduate,Female,White,San Dieguito Academy,BUS,BUS132,A,A,Yes,Awarded,4694,Not Applicable,Not Applicable,No,No,No
2021-2022,2024,Not Yet a Graduate,Male,White,Sage Creek High School,BUS,BUS130,A,B,Yes,Awarded,3663,Yes,No,Not Applicable,No,Not Applicable
2022-2023,2024,Graduate,Female,Hispanic,Canyon Crest Academy,NURS,BUS130,A,F,Yes,Awarded,11742,No,No,No,No,No
2020-2021,2025,Graduate,Male,Asian,Canyon Crest Academy,KINE,DESN100,A,A,Yes,Awarded,8677,Yes,Yes,Not Applicable,Not Applicable,No
2020-2021,2022,Not Yet a Graduate,Male,Hispanic,Torrey Pines High School,BUS,BUS120,A,A,Yes,Awarded,12939,Yes,Not Applicable,No,No,No
2021-2022,2021,Graduate,Female,Asian,San Dieguito Academy,BUS,BUS130,A,A,No,Denied,104,Yes,No,No,No,No
2022-2023,2024,Graduate,Male,Asian,Torrey Pines High School,BUS,BUS130,A,A,Yes,Awarded,5612,No,Not Applicable,No,Not Applicable,No
2020-2021,2023,Graduate,Male,Hispanic,Oceanside High School,ART,DESN100,A,A,Yes,Awarded,5242,No,No,No,Not Applicable,No
2022-2023,2025,Not Yet a Graduate,Male,Unknown/Unreported,Torrey Pines High School,AUTO,BUS130,A,B,Yes,Awarded,5860,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable
2020-2021,2025,Graduate,Female,Hispanic,Torrey Pines High School,ART,HORT127,A,A,Yes,Awarded,11332,No,No,No,No,No
2020-2021,2023,Not Yet a Graduate,Female,Asian,Canyon Crest Academy,ACCT,ACCT158,A,,Yes,Awarded,6049,No,No,No,No,No
2020-2021,2022,Graduate,Female,Hispanic,Sage Creek High School,BUS,BUS132,B,A,Yes,Awarded,13119,No,No,No,No,No
2021-2022,2024,Graduate,Male,Middle Eastern or North African,La Costa Canyon High School,NURS,NURS151,A,A,Yes,Awarded,10912,No,No,Not Applicable,No,No
2021-2022,2022,Graduate,Female,Unknown/Unreported,Torrey Pines High School,BUS,BUS130,A,,No,Denied,6790,No,No,No,No,No
2020-2021,2021,Graduate,Male,Black/African American,San Dieguito Academy,MAT,ART251,,A,Yes,Denied,12586,No,No,No,No,No
2020-2021,2023,Graduate,Male,Hispanic,Sage Creek High School,BUS,BUS132,A,A,Yes,Awarded,12182,No,No,No,No,No
2021-2022,2024,Not Yet a Graduate,Female,Unknown/Unreported,San Dieguito Academy,MAP,ART251,,A,Yes,Awarded,1452,No,No,No,No,No
2020-2021,2024,Graduate,Unknown/Unreported,Hispanic,Canyon Crest Academy,BUS,BUS130,B,A,Yes,Awarded,8425,Not Applicable,No,No,No,No
2021-2022,2024,Graduate,Male,White,Canyon Crest Academy,NURS,ART251,B,A,Yes,Awarded,1080,No,No,No,No,No
2021-2022,2024,Graduate,Female,White,Canyon Crest Academy,BUS,NURS151,,A,Yes,Awarded,9342,Not Applicable,No,No,Not Applicable,No
2020-2021,2022,Graduate,Female,White,Mission Vista High School,BUS,BUS132,A,A,Yes,Awarded,4309,No,No,No,No,No
2022-2023,2023,Graduate,Male,Unknown/Unreported,La Costa Canyon High School,BUS,BUS132,A,A,Yes,Denied,145,No,No,No,No,No
2020-2021,2021,Graduate,Male,White,Tri-City Christian School,BUS,BUS120,A,A,Yes,Denied,9368,No,No,No,No,No
